Statistics,Machine Learning,Deep Learning,R,Python,NLP,Data Engineering,Java,Game,AR,Blockchain,Front end,back end,database,Mobile
probability,machine learning,neural network,r,python,nlp,aws,JSP,C#,augmented reality,smart contract,html,node,mongo,android
markov chain,linear regression,keras,ggplot,flask,natural language processing,ec2,Servlet,C sharp,virtual reality,decentralized,css,django,sql,ios
monte carlo,logistic regression,theano,shiny,django,named entity recognition,s3,object oriented,unity,ar,blockchain,front end,back end,mongodb,android studio
distribution,k means,face  detection,cran,pandas,word2vec,docker,java,Gdevelop,vr,,react ,graphql,mysql,react native
statistics,random forest,cnn,dplyr,numpy,word embedding,kubernetes,,,,,angular,,sqlite,flutter
,svm,ann,tidyr,scikitlearn,spacy,scala,,,,,materialize,,,java
,naïve bayes,object detection,lubridate,sklearn,gensim,hadoop,,,,,ejs,,,kotlin
,ensemble,tensorflow,knitr,matplotlib,nltk,sql,,,,,,,,c#
,boltzman machine,opencv,,scipy,bag of words,,,,,,,,,
,,cuda,,bokeh,skip gram,,,,,,,,,
,,convolutional neural network,,statsmodel,sentiment analysis,,,,,,,,,
,,artificial neural network,,object oriented,chat bot,,,,,,,,,
,,face detection,,,,,,,,,,,,
