date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:18	99427/99427	---MCZ	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/index_III.html	(from )
11:05:21	156/156	---MC-	200	added ('OK')	text/plain	date:Sat,%2001%20Feb%202020%2005:35:19%20GMT	https://webstrot.com/robots.txt		(from )
11:05:22	72259/72259	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/animate.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/animate.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:23	24411/24411	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/fonts.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/fonts.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:23	140936/140936	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/bootstrap.min.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/bootstrap.min.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:24	2295/2295	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/flaticon.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/flaticon.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:24	4028/4028	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/owl.carousel.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/owl.carousel.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:24	53592/53592	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/font-awesome.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/font-awesome.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:24	1303/1303	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/owl.theme.default.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/owl.theme.default.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:25	9448/9448	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/dropify.min.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/dropify.min.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:25	30769/30769	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/jquery-ui.min.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/jquery-ui.min.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:25	6951/6951	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/magnific-popup.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/magnific-popup.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:25	4305/4305	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/nice-select.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/nice-select.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:26	31303/31303	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/reset.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/reset.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:26	23669/23669	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/responsive.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/responsive.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:26	876/876	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/favicon.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/favicon.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:27	157876/157876	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/css/style.css	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/css/style.css	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:27	235564/235564	---MCZ	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/index.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/index.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:27	2010/2010	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/logo5.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/logo5.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:27	192742/192742	---MCZ	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/index_II.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/index_II.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:27	190143/190143	---MCZ	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/job_listing_grid_left_filter.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/job_listing_grid_left_filter.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:28	190143/190143	---MCZ	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/job_listing_list_left_filter.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/job_listing_list_left_filter.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:28	70709/70709	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/job_single.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/job_single.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:28	56949/56949	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/about_us.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/about_us.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:28	54818/54818	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/companies.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/companies.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:29	67509/67509	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/company_single.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/company_single.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:29	40924/40924	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/error_page.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/error_page.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:29	43355/43355	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/login.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/login.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:30	45719/45719	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/pricing_table.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/pricing_table.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:30	43662/43662	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/sign_up.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/sign_up.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:30	64505/64505	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/blog_single.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/blog_single.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:30	63453/63453	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/blog_category_right_sidebar.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/blog_category_right_sidebar.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:31	46168/46168	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/contact_us.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/contact_us.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:31	1353/1353	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/logo4.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/logo4.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:31	2278/2278	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/pf.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/pf.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
